id,destination,type,comment,createdAt
47324698,p59-ckdevice.icloud.com,domain,,2024-12-12 19:15:10
47324740,p59-contactsws.icloud.com,domain,,2024-12-12 19:15:10
47324748,p59-pushws.icloud.com,domain,,2024-12-12 19:15:10
47325458,p59-drivews.icloud.com,domain,,2024-12-12 19:15:10
47325830,p60-quota.icloud.com,domain,,2024-12-12 19:15:10
48131384,dood.watch,domain,,2024-12-12 19:15:10
49900580,wireguard.com,domain,,2024-12-12 19:15:10
54208486,flixer.to,domain,,2024-12-12 19:15:10
55077632,common-geo.ha.1drv.com,domain,,2024-12-12 19:15:10
56149940,snail.murusfirewall.com,domain,,2024-12-12 19:15:10
56455822,p59-setup.icloud.com,domain,,2024-12-12 19:15:10
59323183,ckdatabasews.icloud.com,domain,,2024-12-12 19:15:10
60313135,theflixer.tv,domain,,2024-12-12 19:15:10
61269490,p59-fmipmobile.icloud.com,domain,,2024-12-12 19:15:10
61997652,p59-docws.icloud.com,domain,,2024-12-12 19:15:10
63423922,opendbl.net,domain,,2024-12-12 19:15:10
64069539,p59-acsegateway.icloud.com,domain,,2024-12-12 19:15:11
65545279,accordancebible.disqus.com,domain,,2024-12-12 19:15:11
66373552,9animetv.to,domain,,2024-12-12 19:15:11
68194773,starbucks.workplace.com,domain,,2024-12-12 19:15:11
68904767,megacloud.tv,domain,,2024-12-12 19:15:11
68914935,himovies.sx,domain,,2024-12-12 19:15:11
69295159,gatewayws.icloud.com,domain,,2024-12-12 19:15:11
69797932,drive.usercontent.google.com,domain,,2024-12-12 19:15:11
70030405,watchseries.pe,domain,,2024-12-12 19:15:11
70328804,apply.starbucks.com,domain,,2025-04-27 08:11:55
70344033,dropboxexperiment.com,domain,,2024-12-12 19:15:11
70551926,watchseries8.to,domain,,2025-08-19 18:46:11
70889927,theflixertv.to,domain,,2024-12-12 19:15:11
71442591,himovies.rs,domain,,2024-12-12 19:15:11
72089426,hianime.to,domain,,2024-12-12 19:15:11
72180002,1flix.to,domain,,2024-12-12 19:15:11
73717897,anicrush.to,domain,,2025-06-06 19:16:15
